hour_start_iso,hour_start_ms,open,high,low,close,volume,trades_count,vwap
2025-07-01T17:00:00+00:00,1751389200000,38.844,39.087,38.609,38.691,129370.54,,
2025-07-01T18:00:00+00:00,1751392800000,38.691,38.799,37.545,37.683,304848.92,,
2025-07-01T19:00:00+00:00,1751396400000,37.678,37.835,37.0,37.023,274471.01,,
2025-07-01T20:00:00+00:00,1751400000000,37.023,37.67,36.961,37.459,172177.1,,
2025-07-01T21:00:00+00:00,1751403600000,37.459,37.721,37.029,37.276,264396.98,,
2025-07-01T22:00:00+00:00,1751407200000,37.268,37.483,37.076,37.14,81671.29,,
2025-07-01T23:00:00+00:00,1751410800000,37.14,37.157,36.743,36.882,228964.21,,
2025-07-02T00:00:00+00:00,1751414400000,36.881,37.231,36.808,37.12,97282.28,,
2025-07-02T01:00:00+00:00,1751418000000,37.119,37.224,36.835,37.146,96628.97,,
2025-07-02T02:00:00+00:00,1751421600000,37.146,37.247,36.901,37.164,39671.52,,
2025-07-02T03:00:00+00:00,1751425200000,37.164,37.6,37.139,37.424,146652.34,,
2025-07-02T04:00:00+00:00,1751428800000,37.422,37.77,37.227,37.76,90546.93,,
2025-07-02T05:00:00+00:00,1751432400000,37.759,37.989,37.544,37.828,107888.81,,
2025-07-02T06:00:00+00:00,1751436000000,37.828,38.053,37.635,38.021,121055.21,,
2025-07-02T07:00:00+00:00,1751439600000,38.03,38.288,37.707,38.119,140135.45,,
2025-07-02T08:00:00+00:00,1751443200000,38.119,38.533,38.119,38.524,178538.1,,
2025-07-02T09:00:00+00:00,1751446800000,38.524,38.652,38.339,38.552,129657.21,,
2025-07-02T10:00:00+00:00,1751450400000,38.552,38.88,38.493,38.873,84562.09,,
2025-07-02T11:00:00+00:00,1751454000000,38.876,38.883,38.143,38.277,117440.78,,
2025-07-02T12:00:00+00:00,1751457600000,38.273,38.352,37.825,38.194,212943.64,,
2025-07-02T13:00:00+00:00,1751461200000,38.199,38.507,38.115,38.389,135415.01,,
2025-07-02T14:00:00+00:00,1751464800000,38.389,38.776,38.352,38.759,219551.34,,
2025-07-02T15:00:00+00:00,1751468400000,38.758,39.009,38.682,38.916,233099.81,,
2025-07-02T16:00:00+00:00,1751472000000,38.911,39.741,38.818,39.67,374223.12,,
2025-07-02T17:00:00+00:00,1751475600000,39.663,39.75,38.563,38.909,320623.91,,
2025-07-02T18:00:00+00:00,1751479200000,38.907,39.219,38.751,39.183,184030.88,,
2025-07-02T19:00:00+00:00,1751482800000,39.182,39.41,38.921,39.387,105546.18,,
2025-07-02T20:00:00+00:00,1751486400000,39.387,39.647,39.282,39.456,240099.19,,
2025-07-02T21:00:00+00:00,1751490000000,39.45,40.197,39.45,40.07,307504.53,,
2025-07-02T22:00:00+00:00,1751493600000,40.052,40.327,39.797,40.279,319207.15,,
2025-07-02T23:00:00+00:00,1751497200000,40.275,40.414,39.906,39.906,265917.31,,
2025-07-03T00:00:00+00:00,1751500800000,39.905,40.209,39.69,40.209,150613.51,,
2025-07-03T01:00:00+00:00,1751504400000,40.208,40.376,39.947,40.244,105050.95,,
2025-07-03T02:00:00+00:00,1751508000000,40.245,40.267,39.686,39.956,124680.92,,
2025-07-03T03:00:00+00:00,1751511600000,39.956,40.264,39.799,39.828,104790.95,,
2025-07-03T04:00:00+00:00,1751515200000,39.838,40.0,39.74,39.765,67382.64,,
2025-07-03T05:00:00+00:00,1751518800000,39.764,40.382,39.764,40.293,108636.68,,
2025-07-03T06:00:00+00:00,1751522400000,40.291,40.414,40.08,40.327,90237.19,,
2025-07-03T07:00:00+00:00,1751526000000,40.327,40.816,40.246,40.794,204057.15,,
2025-07-03T08:00:00+00:00,1751529600000,40.797,40.924,40.586,40.616,117641.86,,
2025-07-03T09:00:00+00:00,1751533200000,40.612,41.018,40.501,40.999,176594.82,,
2025-07-03T10:00:00+00:00,1751536800000,40.992,41.024,40.453,40.625,121788.86,,
2025-07-03T11:00:00+00:00,1751540400000,40.624,40.757,40.329,40.364,75278.02,,
2025-07-03T12:00:00+00:00,1751544000000,40.359,40.92,39.862,40.31,305538.21,,
2025-07-03T13:00:00+00:00,1751547600000,40.306,41.222,40.148,41.131,302854.04,,
2025-07-03T14:00:00+00:00,1751551200000,41.132,41.222,40.31,40.341,221725.5,,
2025-07-03T15:00:00+00:00,1751554800000,40.341,40.42,39.956,39.99,219189.91,,
2025-07-03T16:00:00+00:00,1751558400000,39.989,40.756,39.988,40.31,161291.51,,
2025-07-03T17:00:00+00:00,1751562000000,40.309,40.454,40.06,40.085,75136.5,,
2025-07-03T18:00:00+00:00,1751565600000,40.085,40.382,39.635,40.294,129720.09,,
2025-07-03T19:00:00+00:00,1751569200000,40.293,40.617,40.273,40.406,88169.31,,
2025-07-03T20:00:00+00:00,1751572800000,40.406,40.776,40.358,40.77,65863.81,,
2025-07-03T21:00:00+00:00,1751576400000,40.77,40.804,40.467,40.674,63692.03,,
2025-07-03T22:00:00+00:00,1751580000000,40.673,40.707,40.478,40.528,50742.29,,
2025-07-03T23:00:00+00:00,1751583600000,40.528,40.663,40.164,40.254,55555.36,,
2025-07-04T00:00:00+00:00,1751587200000,40.252,40.407,40.036,40.146,74116.5,,
2025-07-04T01:00:00+00:00,1751590800000,40.145,40.455,39.894,39.928,79907.53,,
2025-07-04T02:00:00+00:00,1751594400000,39.919,39.94,39.207,39.306,126258.68,,
2025-07-04T03:00:00+00:00,1751598000000,39.313,39.497,39.122,39.251,82583.57,,
2025-07-04T04:00:00+00:00,1751601600000,39.251,39.456,39.037,39.04,110578.31,,
2025-07-04T05:00:00+00:00,1751605200000,39.038,39.491,38.973,39.273,103287.63,,
2025-07-04T06:00:00+00:00,1751608800000,39.269,39.285,38.8,38.919,179920.2,,
2025-07-04T07:00:00+00:00,1751612400000,38.918,38.981,38.361,38.533,219021.99,,
2025-07-04T08:00:00+00:00,1751616000000,38.532,38.802,38.25,38.772,132795.52,,
2025-07-04T09:00:00+00:00,1751619600000,38.776,38.94,38.748,38.912,66884.95,,
2025-07-04T10:00:00+00:00,1751623200000,38.912,39.053,38.798,38.83,82170.73,,
2025-07-04T11:00:00+00:00,1751626800000,38.83,39.038,38.736,38.764,47518.4,,
2025-07-04T12:00:00+00:00,1751630400000,38.764,38.847,38.522,38.663,105415.91,,
