ts,close,signal_score,score_smooth,rsi_14,bb_pctB,funding_bps,bull_regime,buy_alert,sell_alert,alert_confidence,alert_reasons
2025-02-24 06:00:00+00:00,21.883,-2,-2.455281490359282,22.69626608541857,,,0,0,0,0.0,
2025-02-24 07:00:00+00:00,21.561,-3,-2.673168894215569,20.029110683485857,,,0,0,0,0.0,
2025-02-24 08:00:00+00:00,20.859,-3,-2.8039013365293415,15.69796191663204,,,0,0,0,0.0,
2025-02-24 09:00:00+00:00,21.335,-2,-2.482340801917605,27.194341457401933,,,0,0,0,0.0,
2025-02-24 10:00:00+00:00,21.372,-2,-2.289404481150563,28.016088061727142,,,0,0,0,0.0,
2025-02-24 11:00:00+00:00,21.929,-1,-1.7736426886903378,39.150514461726935,,,0,0,0,0.0,
2025-02-24 12:00:00+00:00,22.017,-1,-1.4641856132142026,40.71085626166299,,,0,0,0,0.0,
2025-02-24 13:00:00+00:00,21.468,-1,-1.2785113679285216,34.72790138469176,,,0,0,0,0.0,
2025-02-24 14:00:00+00:00,20.933,-1,-1.167106820757113,30.087479939090045,,,0,0,0,0.0,
2025-02-24 15:00:00+00:00,21.22,-1,-1.1002640924542677,35.097646127349606,,,0,0,0,0.0,
2025-02-24 16:00:00+00:00,21.405,0,-0.6601584554725606,38.17336946891994,,,0,0,0,0.0,
2025-02-24 17:00:00+00:00,21.631,-1,-0.7960950732835363,41.80179177866831,,,0,0,0,0.0,
2025-02-24 18:00:00+00:00,21.299,-1,-0.8776570439701218,38.25044509043408,,,0,0,0,0.0,
2025-02-24 19:00:00+00:00,20.585,-1,-0.9265942263820731,31.961592745156267,,,0,0,0,0.0,
2025-02-24 20:00:00+00:00,20.565,-2,-1.3559565358292438,31.80385662318592,,,0,0,0,0.0,
2025-02-24 21:00:00+00:00,20.354,-1,-1.2135739214975463,30.11525783003171,,,0,0,0,0.0,
2025-02-24 22:00:00+00:00,20.096,-3,-1.9281443528985278,28.14734414974363,,,0,0,0,0.0,
2025-02-24 23:00:00+00:00,19.884,-3,-2.356886611739117,26.608680693023487,,,0,0,0,0.0,
2025-02-25 00:00:00+00:00,19.819,-2,-2.2141319670434703,26.136918878392777,,,0,0,0,0.0,
2025-02-25 01:00:00+00:00,19.734,-2,-2.128479180226082,25.500220660507168,,,0,0,0,0.0,
2025-02-25 02:00:00+00:00,19.526,-2,-2.0770875081356492,23.96195752944989,,,0,0,0,0.0,
2025-02-25 03:00:00+00:00,18.5,-3,-2.4462525048813895,18.1468611415804,,,0,0,0,0.0,
2025-02-25 04:00:00+00:00,18.663,-2,-2.2677515029288338,21.40993712561722,,,0,0,0,0.0,
2025-02-25 05:00:00+00:00,19.018,-2,-2.1606509017573003,28.129880984629636,,,0,0,0,0.0,
2025-02-25 06:00:00+00:00,19.097,-2,-2.0963905410543804,29.573060142791363,,,0,0,0,0.0,
2025-02-25 07:00:00+00:00,18.706,-2,-2.057834324632628,26.713869975898778,,,0,0,0,0.0,
2025-02-25 08:00:00+00:00,18.898,-1,-1.6347005947795767,30.278563961250356,,,0,0,0,0.0,
2025-02-25 09:00:00+00:00,17.804,-2,-1.780820356867746,23.31864044328435,,,0,0,0,0.0,
2025-02-25 10:00:00+00:00,17.717,-2,-1.8684922141206477,22.86845379643516,,,0,0,0,0.0,
2025-02-25 11:00:00+00:00,18.613,-1,-1.5210953284723887,36.471377497977976,,,0,0,0,0.0,
2025-02-25 12:00:00+00:00,19.366,0,-0.9126571970834332,45.21573168541597,,,0,0,0,0.0,
2025-02-25 13:00:00+00:00,19.15,-1,-0.9475943182500599,43.3715377869226,,,0,0,0,0.0,
2025-02-25 14:00:00+00:00,18.375,-1,-0.968556590950036,37.46685123202844,,,0,0,0,0.0,
2025-02-25 15:00:00+00:00,19.579,1,-0.18113395457002154,49.067809187953415,,,0,0,0,0.0,
2025-02-25 16:00:00+00:00,19.665,1,0.2913196272579871,49.78441240244376,,,0,0,0,0.0,
