ts,close,strat_value,bh_value,target_pos,target_w
2024-03-30 00:00:00+00:00,69763.07,81884.7091495325,81884.7091495325,1,1.0
2024-03-31 00:00:00+00:00,71319.74,83711.85738414722,83711.85738414722,1,1.0
2024-04-01 00:00:00+00:00,69700.0,81810.68046062789,81810.68046062789,1,1.0
2024-04-02 00:00:00+00:00,65473.99,76850.38270261616,76850.38270261616,1,1.0
2024-04-03 00:00:00+00:00,66008.96,77478.30608462509,77478.30608462509,1,1.0
2024-04-04 00:00:00+00:00,68369.41,80248.89461681001,80248.89461681001,1,1.0
2024-04-05 00:00:00+00:00,67829.31,79614.94987481882,79614.94987481882,1,1.0
2024-04-06 00:00:00+00:00,68828.93,80788.25823065887,80788.25823065887,1,1.0
2024-04-07 00:00:00+00:00,69335.89,81383.30475241384,81383.30475241384,1,1.0
2024-04-08 00:00:00+00:00,71640.11,84087.8930756705,84087.8930756705,1,1.0
2024-04-09 00:00:00+00:00,69173.8,81193.05090455354,81193.05090455354,1,1.0
2024-04-10 00:00:00+00:00,70555.79,82815.16772363218,82815.16772363218,1,1.0
2024-04-11 00:00:00+00:00,70056.0,82228.5370207998,82228.5370207998,1,1.0
2024-04-12 00:00:00+00:00,67183.85,78857.33837108687,78857.33837108687,1,1.0
2024-04-13 00:00:00+00:00,63947.01,75058.08323561802,75058.08323561802,1,1.0
2024-04-14 00:00:00+00:00,65780.16,77209.75108190783,77209.75108190783,1,1.0
2024-04-15 00:00:00+00:00,63449.83,74474.51603172398,74474.51603172398,1,1.0
2024-04-16 00:00:00+00:00,63859.29,74955.12150118464,74955.12150118464,1,1.0
2024-04-17 00:00:00+00:00,61289.21,71938.4788377951,71938.4788377951,1,1.0
2024-04-18 00:00:00+00:00,63463.3,74490.32650325632,74490.32650325632,1,1.0
2024-04-19 00:00:00+00:00,63843.37,74936.43533141515,74936.43533141515,1,1.0
2024-04-20 00:00:00+00:00,64930.63,76212.611521338,76212.611521338,1,1.0
2024-04-21 00:00:00+00:00,64957.64,76244.31462720947,76244.31462720947,1,1.0
2024-04-22 00:00:00+00:00,66850.0,78465.48047048743,78465.48047048743,1,1.0
2024-04-23 00:00:00+00:00,66399.99,77937.27926081617,77937.27926081617,1,1.0
2024-04-24 00:00:00+00:00,64278.95,75447.69926534686,75447.69926534686,1,1.0
2024-04-25 00:00:00+00:00,64500.0,75707.15767159969,75707.15767159969,1,1.0
2024-04-26 00:00:00+00:00,63801.92,74887.7832122603,74887.7832122603,1,1.0
2024-04-27 00:00:00+00:00,63460.73,74487.30995449329,74487.30995449329,1,1.0
2024-04-28 00:00:00+00:00,63137.36,74107.7529998225,74107.7529998225,1,1.0
2024-04-29 00:00:00+00:00,63817.61,74906.19941852182,74906.19941852182,1,1.0
2024-04-30 00:00:00+00:00,60698.63,71245.28297457505,71245.28297457505,1,1.0
2024-05-01 00:00:00+00:00,58361.6,68502.18377002841,68502.18377002841,1,1.0
2024-05-02 00:00:00+00:00,59102.52,69371.84186711433,69371.84186711433,1,1.0
2024-05-03 00:00:00+00:00,62849.56,73769.94648853743,73769.94648853743,1,1.0
2024-05-04 00:00:00+00:00,63800.39,74885.98736805507,74885.98736805507,1,1.0
2024-05-05 00:00:00+00:00,64021.14,75145.09364799314,75145.09364799314,1,1.0
2024-05-06 00:00:00+00:00,63154.41,74127.76551204422,74127.76551204422,1,1.0
2024-05-07 00:00:00+00:00,62358.78,73193.89131269143,73193.89131269143,1,1.0
2024-05-08 00:00:00+00:00,61193.08,71825.64582900485,71825.64582900485,1,1.0
2024-05-09 00:00:00+00:00,63061.0,74018.12511517439,74018.12511517439,1,1.0
2024-05-10 00:00:00+00:00,60935.38,71523.16932463321,71523.16932463321,1,1.0
2024-05-11 00:00:00+00:00,60839.82,71411.005355841,71411.005355841,1,1.0
2024-05-12 00:00:00+00:00,61493.88,72178.71114726248,72178.71114726248,1,1.0
2024-05-13 00:00:00+00:00,62876.81,73801.93129546072,73801.93129546072,1,1.0
2024-05-14 00:00:00+00:00,61620.22,72327.00327594823,72327.00327594823,1,1.0
2024-05-15 00:00:00+00:00,66232.38,77740.54628876444,77740.54628876444,1,1.0
2024-05-16 00:00:00+00:00,65245.85,76582.60237779135,76582.60237779135,1,1.0
2024-05-17 00:00:00+00:00,66965.81,78601.41296552538,78601.41296552538,1,1.0
2024-05-18 00:00:00+00:00,66947.59,78580.02716067614,78580.02716067614,1,1.0
2024-05-19 00:00:00+00:00,66356.97,77886.78434728079,77886.78434728079,1,1.0
2024-05-20 00:00:00+00:00,71400.0,83806.0629108871,83806.0629108871,1,1.0
2024-05-21 00:00:00+00:00,70173.59,82366.55879863862,82366.55879863862,1,1.0
2024-05-22 00:00:00+00:00,69156.68,81172.95622952502,81172.95622952502,1,1.0
